CODE,SEX,ZEITRAUM,ALTERVON,ALTERBIS,NORMVON,NORMBIS
BKS1,M,Jahr,0,49,0,15
BKS1,M,Jahr,50,123,0,20
BKS1,W,Jahr,0,49,0,20
BKS1,W,Jahr,50,123,0,30
LEUN,AL,Woche,0,1,9,30
LEUN,AL,Woche,1,4,5,21
LEUN,AL,Monat,1,24,"5,5",17
LEUN,AL,Jahr,2,15,5,15
LEUN,AL,Jahr,15,123,4,11
LEU,AL,Woche,0,1,9,30
LEU,AL,Woche,1,4,5,21
LEU,AL,Monat,1,24,"5,5",17
LEU,AL,Jahr,2,15,5,15
LEU,AL,Jahr,15,123,"3,5",10
ERY,AL,Tag,0,7,4,"6,8"
ERY,AL,Tag,8,120,"3,9","5,9"
ERY,AL,Monat,3,12,"3,6","5,3"
ERY,AL,Jahr,1,15,"3,8","5,8"
ERY,M,Jahr,16,123,"4,1","5,4"
ERY,W,Jahr,16,123,"3,7",5
HB,AL,Monat,0,1,13,20
HB,AL,Monat,1,12,11,17
HB,AL,Jahr,1,10,11,15
HB,M,Jahr,10,16,12,16
HB,M,Jahr,16,123,13,"16,5"
HB,W,Jahr,10,16,"11,5",15
HB,W,Jahr,16,123,11,14
HK,AL,Woche,0,3,"0,4","0,65"
HK,AL,Woche,4,7,"0,38","0,5"
HK,AL,Monat,2,12,"0,35","0,45"
HK,AL,Jahr,1,15,"0,32","0,45"
HK,M,Jahr,16,123,"0,4","0,46"
HK,W,Jahr,16,123,"0,36","0,43"
MCV,AL,Woche,0,1,94,135
MCV,AL,Woche,1,12,80,120
MCV,AL,Monat,3,36,74,100
MCV,AL,Jahr,3,10,70,95
MCV,AL,Jahr,10,123,80,97
MCH,AL,Woche,0,1,30,40
MCH,AL,Woche,1,12,23,38
MCH,AL,Monat,3,36,24,33
MCH,AL,Jahr,3,17,25,32
MCH,AL,Jahr,17,123,28,33
MCHC,AL,Monat,0,1,28,35
MCHC,AL,Monat,1,12,32,36
MCHC,AL,Jahr,1,123,33,37
RDW,AL,Jahr,0,123,41,52
PDW,AL,Jahr,0,123,9,14
PLCR,AL,Jahr,0,123,15,35
MPV,W,Jahr,0,123,"9,1","11,9"
MPV,M,Jahr,0,123,"9,3","12,1"
THRO,AL,Jahr,0,1,200,666
THRO,AL,Jahr,1,15,200,500
THRO,AL,Jahr,15,123,140,400
NOBL,AL,Jahr,0,123,0,3
NOAB,AL,Jahr,0,123,0,"0,01"
THRE,AL,Jahr,0,1,355,666
THRE,AL,Jahr,1,15,200,500
THRE,AL,Jahr,15,123,140,400
THRK,AL,Jahr,0,123,"0,02","0,04"
THRH,AL,Jahr,0,1,355,666
THRH,AL,Jahr,1,15,250,500
THRH,AL,Jahr,15,60,200,400
THRH,AL,Jahr,60,123,180,370
IPF,AL,Jahr,0,123,"0,8","6,3"
SEG,AL,Monat,0,1,50,65
SEG,AL,Monat,1,12,25,60
SEG,AL,Jahr,1,5,40,50
SEG,AL,Jahr,6,10,50,65
SEG,AL,Jahr,11,123,40,75
BASO,AL,Jahr,0,123,0,1
EOS,AL,Jahr,0,123,0,7
LYMP,AL,Tag,0,1,25,35
LYMP,AL,Tag,1,365,40,65
LYMP,AL,Jahr,1,5,40,50
LYMP,AL,Jahr,5,10,30,40
LYMP,AL,Jahr,11,123,20,50
MONO,AL,Jahr,0,1,5,12
MONO,AL,Jahr,1,123,2,8
STAB,AL,Monat,0,1,5,15
STAB,AL,Monat,1,12,1,5
STAB,AL,Jahr,1,123,1,5
META,AL,Jahr,0,123,0,1
MYZY,AL,Jahr,0,123,0,1
PMZY,AL,Jahr,0,123,0,1
MYBL,AL,Jahr,0,123,0,0
BLAS,AL,Jahr,0,123,0,1
PLAS,AL,Jahr,0,123,0,2
LYRZ,AL,Jahr,0,123,0,5
JOLL,AL,Jahr,0,123,0,40
FRZO,AL,Jahr,0,123,0,1
Neut,AL,Monat,0,1,50,70
Neut,AL,Monat,1,12,30,50
Neut,AL,Jahr,1,5,40,50
Neut,AL,Jahr,6,10,50,65
Neut,AL,Jahr,11,123,40,75
Lymp,AL,Jahr,0,1,40,65
Lymp,AL,Jahr,1,5,40,50
Lymp,AL,Jahr,6,10,30,48
Lymp,AL,Jahr,11,123,18,50
Mono,AL,Jahr,0,1,5,12
Mono,AL,Jahr,1,123,4,11
Eo,M,Jahr,0,123,1,8
Eo,W,Jahr,0,123,0,6
Baso,AL,Jahr,0,123,0,1
NEAB,AL,Monat,0,1,6,26
NEAB,AL,Monat,1,12,"1,5","8,5"
NEAB,AL,Jahr,1,123,"1,6",7
LYAB,AL,Monat,0,1,2,11
LYAB,AL,Monat,1,12,4,"10,5"
LYAB,AL,Jahr,1,123,1,3
MOAB,AL,Monat,0,1,"0,4","3,1"
MOAB,AL,Monat,1,12,"0,05","1,1"
MOAB,AL,Jahr,1,123,"0,2","0,7"
EOAB,M,Jahr,0,123,"0,03","0,59"
EOAB,W,Jahr,0,123,"0,01","0,4"
BAAB,AL,Jahr,1,123,0,"0,1"
IGZ,AL,Jahr,1,123,0,"0,6"
IGZ,AL,Tag,0,2,0,3
IGZ,AL,Tag,3,7,0,2
IGZ,AL,Woche,1,52,0,"0,1"
IGZAB,AL,Tag,0,2,0,"0,9"
IGZAB,AL,Tag,3,7,0,"0,5"
IGZAB,AL,Woche,2,52,0,"0,1"
IGZAB,AL,Jahr,1,123,0,"0,06"
RETZ,M,Jahr,0,123,"0,025","0,105"
RETZ,W,Jahr,0,123,"0,02","0,08"
RETI,AL,Tag,0,3,30,70
RETI,AL,Tag,3,30,10,30
RETI,AL,Monat,1,12,3,30
RETI,AL,Jahr,1,123,4,16
HFR,AL,Jahr,0,123,0,3
MFR,AL,Jahr,0,123,2,14
LFR,AL,Jahr,0,123,85,98
IRF,M,Jahr,0,123,"1,5",17
IRF,W,Jahr,0,123,"1,1","15,9"
RETH,AL,Jahr,0,123,"28,5","34,5"
FRC,AL,Jahr,0,123,0,"0,2"
FRCAB,AL,Jahr,0,123,0,"0,05"
OSRA,AL,Jahr,0,6,0,"0,46"
OSRA,AL,Jahr,7,123,0,"0,46"
OSRE,AL,Jahr,0,6,"0,3",1
OSRE,AL,Jahr,7,123,"0,3",1
TPZ,AL,Jahr,0,123,70,120
INR,AL,Jahr,0,123,0,0
PTT,AL,Monat,0,1,40,60
PTT,AL,Monat,1,12,35,50
PTT,AL,Jahr,1,123,24,40
FGCL,AL,Jahr,0,123,180,350
FGEN,AL,Jahr,0,123,180,350
FIB4,AL,Jahr,1,123,"1,8","3,5"
FIBMC4,AL,Jahr,1,123,180,350
TZ,AL,Jahr,0,123,16,24
AT3,AL,Monat,0,1,40,80
AT3,AL,Monat,1,3,50,120
AT3,AL,Monat,4,6,80,125
AT3,AL,Jahr,1,123,80,115
AT3,AL,Monat,7,12,80,130
DIMEBC,AL,Jahr,0,123,"0,05","0,19"
DDIM,AL,Jahr,18,123,0,"0,5"
DDIM,AL,Jahr,0,18,0,"0,73"
F2,AL,Monat,0,2,30,70
F2,AL,Monat,3,12,50,85
F2,AL,Jahr,1,123,70,120
F5,AL,Jahr,0,123,70,140
F7,AL,Monat,0,2,30,70
F7,AL,Monat,3,12,50,85
F7,AL,Jahr,1,123,70,120
F8,AL,Jahr,0,123,70,150
F8AG,AL,Jahr,0,123,50,120
F9,AL,Monat,0,2,30,70
F9,AL,Monat,3,12,50,85
F9,AL,Jahr,1,123,70,130
F10,AL,Monat,0,2,20,55
F10,AL,Monat,3,12,50,85
F10,AL,Jahr,1,10,60,100
F10,AL,Jahr,11,123,70,120
F11,AL,Monat,0,2,30,70
F11,AL,Monat,3,12,50,85
F11,AL,Jahr,1,15,60,90
F11,AL,Jahr,16,123,70,120
F12,AL,Monat,0,2,30,70
F12,AL,Monat,3,12,50,85
F12,AL,Jahr,1,123,70,150
F13,AL,Jahr,0,123,70,140
A2AP,AL,Jahr,0,123,70,120
FIMO,AL,Jahr,0,123,27,75
FSP,AL,Jahr,0,123,0,10
F1+2,AL,Jahr,0,123,69,229
TAT,AL,Jahr,0,123,0,"4,1"
PLAP,AL,Jahr,0,123,70,120
PROC,AL,Monat,0,3,25,82
