CODE,Chi-Squared,SSD,Reg_Slope,Reg_Intercept,Z-Test_1,Z-Test_2,Z-Test_3,Z-Test_4,Z-Test_5,Z-Test_6,Z-Test_7,Z-Test_8,Z-Test_9
ALBS,62916.03845,0.528738042,0.157873857,0.093569571,106.5833663,15.30641246,124.2404604,195.2547356,25.7176181,44.87399093,41.56441944,38.89400536,36.6801611
BILD,302.2598995,0.242974549,1.37554686,-0.041727429,5.990539667,1.835178543,8.139586799,3.296473248,5.038045235,5.727376468,5.292014847,4.939898742,9.985370066
BILS,24286.21907,0.582918603,3.053641518,-0.228182391,153.8747216,25.1274793,44.85581613,37.88386646,37.90226607,29.34054453,20.77537076,30.00450657,28.29586205
CA,138439.8785,0.897744667,2.432108858,-0.021345429,113.410832,372.063408,63.26825079,56.60396536,50.66818314,46.28136211,42.86809885,40.11402516,37.83083046
CHOS,19662.20337,0.495813651,2.889362707,-0.20992919,127.1866352,17.57277838,45.27156438,42.16743205,37.53715037,34.01116052,31.2253665,28.37958156,25.77057305
CL,44194.08184,0.680301634,3.145305269,-0.238367252,204.7997132,69.54333506,56.83726685,49.2720304,44.10456705,40.28552225,37.11434076,32.00387624,17.39800945
CRPS,24098.80094,0.337862001,2.311393406,-0.145710378,142.7568868,12.28605726,34.77451272,46.26444496,42.24162083,38.73931198,37.42512635,34.31038373,36.23672081
CYSC,535.108165,0.301168091,2.210839709,-0.134537745,19.18583695,3.229066062,5.229988234,2.756443828,0.879300697,8.671938497,8.023914391,7.500495901,7.066118078
ERY,145376.5685,0.556949226,-0.243203281,0.138133698,155.7475131,108.6062392,82.73540712,277.6913031,188.4487762,46.66739347,57.0705619,53.17891128,51.96079295
GGT7,5937.303492,0.201894307,1.841149233,-0.093461026,62.20381034,14.59223966,0.961945908,18.15988557,20.37219372,25.12656197,25.14968959,26.01682342,23.90226025
GPT7,5945.172163,0.183329681,1.76059689,-0.084510766,58.32262743,24.80173554,6.397436178,20.1237777,22.84900114,25.38611457,24.469238,24.47050825,21.497452
HB,96344.44725,0.628599511,2.900931986,-0.211214665,294.9242692,107.7207716,89.70302679,77.62026615,69.45273369,63.4141223,51.53839659,23.49395376,48.83957714
HK,31598.9999,0.4068,0,0,116.65,82.17,67.16,58.22,52.12,47.6,44.09,41.26,38.91
KRES,86957.34671,0.62167562,3.183614431,-0.242623826,293.0198648,59.69206932,73.29956458,63.39062931,65.12606999,61.67995965,57.13200967,53.46244867,50.42034388
K,301977.9153,0.768007634,-0.312391242,0.145821249,154.0125103,109.1123193,68.43546402,524.1238967,113.0726464,58.37198944,58.55390953,54.79307774,49.74445433
LDH7,8376.852787,0.224538794,1.838258681,-0.093139853,41.37364358,58.85216772,3.471335019,20.39826379,27.7960109,29.36989081,30.059381,29.5056138,27.87162095
LEU,54214.13304,0.47974714,2.544615197,-0.171623911,228.4317187,58.07588978,81.52028757,72.00241768,51.83988926,33.60266473,18.29493,17.93304791,18.0355557
NA,128218.159,0.750516778,3.494618312,-0.277179812,358.0709941,108.620821,88.79596699,76.97924122,68.90802729,62.94312863,58.28388468,54.53810823,51.45305593
THRO,21598.24817,0.230052175,1.721360485,-0.080151165,46.697107,112.8773612,10.34490295,42.9285922,48.59934966,46.7384941,42.16539256,34.84132958,28.46881854
TPS,78936.52768,0.542896777,-0.796478266,0.199608696,106.0903509,72.97869254,61.07882757,32.62557566,113.3959039,157.1553808,165.6683753,23.09584966,35.38734523
TRIS,14751.89752,0.456211331,2.659721807,-0.184413534,118.0735012,9.363757799,32.748493,35.09107694,31.46344584,26.83403535,23.15691821,21.39648073,19.27970699
