ul,Chi-Squared,SSD,Reg_Slope,Reg_Intercept,Z-Test_1,Z-Test_2,Z-Test_3,Z-Test_4,Z-Test_5,Z-Test_6,Z-Test_7,Z-Test_8,Z-Test_9
2,467887.3581924474,0.9018153063768155,1.1957573188073098,-0.02175081311192331,207.52403514615344,684.0187712454216,119.48460291072645,103.58488887287899,92.72496171732524,84.69918561880237,78.45472248466243,73.41636366171898,69.23955374748691
3,439953.42896068754,0.875450512384008,1.1718764636640722,-0.01909738477378578,207.52403513130807,662.9561697137729,95.22114575995866,103.58488886714342,92.72496171228974,84.69918561426292,78.45472248049751,73.41636365784953,69.23955374385817
4,436651.82252034626,0.760458017444751,0.4005387050945754,0.06660681061171385,207.52403511646273,5.89973612127389,651.2172896896856,76.6905547746512,92.72496170725424,84.69918560972346,78.4547224763326,73.41636365398011,69.23955374022943
5,277769.66886470985,0.6131853465324474,0.18020451873958265,0.09108838682893526,207.50335338482893,68.06637406562383,460.13180472864434,190.32870927428473,64.57121377243602,83.71227805979021,78.42766315257208,73.41636363850239,69.23955372571444
6,201220.90858928653,0.5214340166519067,0.00033858518927993756,0.11107349053452445,207.31721768440173,88.29875876696954,274.2873029311469,295.5864632371894,47.68073087804342,57.44535114260346,74.30109817813917,73.07187148097617,69.17901985031348
7,157350.78091550467,0.46745811940060067,-0.13783341511529662,0.12642593501281074,206.9863098253168,96.91640970861563,166.3880815440542,274.464362926822,133.18427264130204,2.237256865639645,52.22059317920105,66.12461023223871,67.4689338000447
8,129255.93660673987,0.4317977802209796,-0.23278735289897656,0.13697637254433073,204.98018092961397,102.32942359489041,105.76291186024096,227.83754027812643,167.5332505883829,52.822600689459,18.125695754370145,49.70381091704106,60.40158702592501
9,107798.69563787954,0.40135212858105873,-0.28502168341677053,0.14278018704630782,199.12035425831718,105.68349968393184,63.8733010044117,186.13849508038197,166.77202196016603,88.49045567678935,17.4439412812967,27.240042623086243,46.99330171142814
10,90906.29317021705,0.3731142337232204,-0.2867419054959617,0.1429713228328846,189.36546632904071,106.7876880993836,38.5004385385407,152.36023749902523,155.3301701175823,101.23168659989743,39.68680293463878,1.4605360058703594,30.936653044745086
11,78234.95314546309,0.34556372821239645,-0.2581383114036529,0.139793145711517,175.41218493762335,109.61872757057947,19.58316678675293,117.87648466438704,143.5018483560577,109.20286384076941,59.683730868726116,17.61572473704718,14.395732222233704
12,68211.28615271534,0.3192300826869537,-0.19174355011849084,0.13241595001316564,158.2877032299748,111.65275886220113,4.682707034839248,100.1642780782136,127.41064627651828,109.70897033225333,67.74744470412263,29.716016540116758,1.2144494807813684
13,59250.61642647085,0.2926253428376706,-0.11135483817960289,0.12348387090884476,140.16225679577428,111.90944048006537,7.776739845603097,80.70270864659386,114.71984413013551,105.44882635479571,74.1500551980287,39.42147317927681,10.833422157638983
14,51225.503713794,0.2665494496726115,-0.020381924481998975,0.11337576938688877,121.29496214976457,111.69426970488728,18.02184460254402,65.35984558299289,99.18663098416744,97.76485713323244,79.28829688800387,47.81621578527782,21.622009367498297
15,45383.78417072495,0.24552091808130302,0.06947724480120726,0.1033914172443103,104.19012884424629,111.77694726193243,23.854829542722232,52.3418107372333,89.81948881388492,94.02145642919935,78.43749350984127,49.42507504539164,27.721781594651006
